Player Name,Year,Rounds Played in Year,Average Fairway Percentage,Average Driving Distance,Average GIR,Average Putts,Average Scrambling,Average Score,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Top 10 Placements
Roberto Castro,2017,70,66.2,280.2,63.89,29.5,60.14,71.808,-0.447,-0.479,-0.244,0.099,0.031,
Kevin Streelman,2017,90,66.01,294,66.67,29.47,60.04,70.873,-0.281,0.169,0.292,0.197,-0.038,2
Richy Werenski,2017,81,65.92,291.2,67.42,29.31,60.6,71.171,0,-0.223,0.203,-0.123,-0.303,3
D.A. Points,2017,68,65.83,278.1,66.83,29.56,55.67,71.315,-0.478,-0.406,-0.436,0.421,0.087,1
Chris Stroud,2017,67,65.7,286.8,66.2,29.03,59.33,70.815,-0.126,0.013,-0.094,0.173,0.06,3
Tim Wilkinson,2017,64,65.68,279.5,63.98,28.67,62.77,70.95,0.009,-0.053,-0.289,-0.31,0.538,
Webb Simpson,2017,102,65.51,286.2,65.26,28.52,65.15,70.018,0.049,0.945,-0.036,0.503,0.426,4
Brian Gay,2017,82,65.47,278.7,63.53,28.32,62.3,70.585,0.451,0.282,-0.417,-0.006,0.254,3
Matt Kuchar,2017,95,65.36,285.1,66.6,28.7,65.78,69.806,0.332,1.106,0.158,0.253,0.43,6
Lucas Glover,2017,93,65.31,298.1,70.08,29.52,60.13,70.139,-0.026,0.933,0.502,0.301,0.14,4
Emiliano Grillo,2017,90,65.29,293,67.06,29.28,56.55,70.798,-0.173,0.455,0.368,0.281,-0.116,2
Kyle Reifers,2017,96,65.15,286.1,65.97,29.73,58.44,71.587,-0.276,-0.418,-0.023,-0.337,0.218,
J.J. Spaun,2017,92,65.11,291.5,67.12,29.35,59.14,70.999,-0.027,-0.072,0.316,-0.122,-0.24,3
Rory Sabbatini,2017,71,64.91,291.6,67.35,29.34,58.38,70.883,-0.357,0.125,0.308,0.146,0.028,1
Shane Lowry,2017,52,64.86,295.1,67.53,29.53,55.51,70.667,0.479,1.088,0.582,0.231,-0.277,1
Martin Laird,2017,83,64.82,296.1,65.61,28.92,60.94,70.45,0.253,0.811,0.235,0.139,0.203,5
Rick Lamb,2017,54,64.81,298,66.89,29.44,54.03,71.978,-0.254,-0.824,0.686,-0.578,-0.678,1
Sam Saunders,2017,76,64.69,293.6,65.24,28.63,58.45,70.921,0.138,0.071,0.348,-0.136,-0.28,2
Brett Stegmaier,2017,78,64.66,288.7,66.74,29.97,50.11,72.115,-0.514,-1.265,-0.141,-0.117,-0.493,
John Huh,2017,92,64.09,287.1,65.78,29,63.65,70.851,0.124,0.099,-0.049,-0.02,0.043,2
Chris Kirk,2017,89,63.93,287,66.73,29.18,54.73,71.255,-0.074,-0.228,-0.315,0.101,0.059,3
Scott Brown,2017,95,63.89,289,64.35,28.69,59.08,70.932,0.276,-0.068,0.143,-0.225,-0.262,2
Graham DeLaet,2017,82,63.68,301.1,68.57,29.41,56.51,70.376,0.291,0.768,0.486,0.427,-0.436,6
C.T. Pan,2017,88,63.68,287.1,67.53,29.74,60.29,71.109,-0.013,-0.084,0.052,-0.092,-0.034,3
Jason Bohn,2017,75,63.67,275.9,63.15,29.39,57.11,72.133,-0.133,-1.141,-0.685,-0.246,-0.076,
Ben Martin,2017,86,63.67,291.7,66.6,29.25,58.53,70.954,-0.044,0.163,0.138,0.297,-0.227,2
Miguel Angel Carballo,2017,63,63.61,288.1,64.91,29.6,54.72,72.363,-0.32,-1.358,0.139,-1.035,-0.142,
Paul Casey,2017,94,63.46,297,69.96,29.02,64.52,69.469,0.133,1.537,0.349,0.939,0.122,6
Hunter Mahan,2017,73,63.4,294.5,64.55,29.58,58.06,71.811,0.268,-0.568,0.376,-0.886,-0.326,
Julián Etulain,2017,68,63.34,293.5,66.75,29.13,58.62,71.338,0.078,-0.307,-0.035,-0.292,-0.058,1
Jason Dufner,2017,89,63.3,294.5,67.15,29.21,57.72,70.259,-0.001,0.734,0.268,0.519,-0.133,2
Rickie Fowler,2017,78,63.29,300.5,66.98,28.32,62.85,69.083,0.852,1.875,0.378,0.408,0.349,9
Johnson Wagner,2017,71,63.18,288.1,66.93,29.54,55.73,71.429,0.12,-0.336,-0.081,-0.088,-0.287,2
James Hahn,2017,96,63.14,293.9,66.09,29.36,60.58,70.925,0.036,0.26,0.177,0.016,0.03,4
Peter Malnati,2017,91,63.1,282.3,62.48,28.4,61.5,71.399,0.451,-0.184,-0.262,-0.563,0.19,
Adam Hadwin,2017,98,62.85,290.7,64.89,28.43,63.47,70.583,0.409,0.64,0.003,0.183,-0.044,5
Russell Henley,2017,99,62.79,297.6,67.32,28.99,57.22,70.027,0.434,0.917,0.31,0.196,0,4
Danny Lee,2017,93,62.72,291.1,66.1,28.81,55.43,70.86,0.247,0.325,0.037,0.304,-0.263,4
Daniel Summerhays,2017,100,62.69,286.9,63.02,28.97,56.76,71.197,0.11,0.146,-0.05,-0.062,0.051,1
Jonathan Randolph,2017,68,62.67,287.2,62.71,28.9,56.82,71.642,-0.076,-0.506,0.03,-0.221,-0.149,1
Geoff Ogilvy,2017,80,62.59,286.5,65.51,29.29,60.85,71.056,0.043,-0.152,-0.064,-0.327,0.196,1
J.J. Henry,2017,92,62.58,294.1,69.44,30.42,56.66,71.164,-0.43,-0.172,0.208,0.05,0,2
Ian Poulter,2017,72,62.55,283.5,64.46,28.44,67.36,70.045,0.025,0.936,-0.162,0.573,0.501,2
Brendan Steele,2017,89,62.28,299.9,67.29,29.4,60.51,70.503,-0.013,0.77,0.387,0.411,0.09,4
David Lingmerth,2017,79,62.12,289.8,62.83,28.15,58.53,70.755,0.484,0.373,-0.032,0.054,-0.031,1
Brian Harman,2017,104,62.07,289.6,63.19,28.3,62.74,70.402,0.6,0.581,0.015,-0.198,0.329,7
Brandt Snedeker,2017,53,61.98,280.8,66.06,28.5,64.06,70.055,0.572,0.862,-0.311,0.503,0.314,4
Fabián Gómez,2017,61,61.81,285.1,64.69,29.15,58.67,71.61,-0.006,-0.407,0.022,-0.429,0.006,
Michael Thompson,2017,60,61.72,284.8,63.69,28.88,58.74,71.207,0.84,-0.173,-0.431,-0.373,-0.208,1
Nick Taylor,2017,97,61.66,291.6,66.14,29.38,61.83,70.817,-0.191,0.151,0.168,0.053,0.121,4
Blayne Barber,2017,77,61.62,291.2,67.61,29.08,55.8,71.163,0.402,0.013,0.041,-0.123,-0.306,1
Patrick Cantlay,2017,52,61.47,298.9,69.21,29.19,60.15,69.971,0.159,1.269,0.623,0.467,0.021,2
Pat Perez,2017,93,61.46,290.6,66.04,28.66,63.38,70.25,0.346,0.877,-0.147,0.222,0.44,5
Sergio Garcia,2017,65,61.08,300.9,69.73,29.38,61.39,69.596,-0.311,0.941,0.795,0.378,0.182,2
Ryan Blaum,2017,100,60.94,284.1,65.28,28.82,60,70.866,0.334,0.047,-0.198,-0.032,-0.057,2
Rod Pampling,2017,71,60.83,287.8,64.01,29.97,52.83,71.861,-0.518,-0.677,-0.11,-0.231,0.183,1
Troy Merritt,2017,82,60.79,289.8,64.71,28.88,58.51,71.398,-0.017,-0.146,-0.118,-0.018,-0.009,1
Brett Drewitt,2017,57,60.73,286.4,64.78,29.36,59.23,72.13,-0.457,-1.035,-0.209,-0.314,-0.054,
Billy Hurley III,2017,80,60.57,276.9,63.61,28.76,58.78,71.176,0.374,0.11,-0.812,0.432,0.117,1
Shawn Stefani,2017,72,60.53,294,67.48,29.28,59.55,70.983,-0.057,-0.043,0.01,-0.119,0.122,1
Kevin Na,2017,86,60.46,283.6,65.46,28.79,62.06,70.399,0.265,0.755,-0.406,0.631,0.288,4
Mark Hubbard,2017,81,60.41,282.7,65.39,29.5,58.57,71.871,-0.2,-0.702,-0.539,0.101,-0.064,
Morgan Hoffmann,2017,92,60.39,293.9,63.57,28.81,60.14,71.107,0.078,-0.06,0.165,-0.419,0.115,1
Rafa Cabrera Bello,2017,63,60.33,291,62.6,28.8,60.74,70.693,0.473,0.101,-0.223,-0.171,0.068,4
Hudson Swafford,2017,94,60.27,305.1,68.21,29.49,55.53,70.618,-0.005,0.314,0.454,0.202,-0.337,4
Cameron Percy,2017,71,60.18,292.5,69.91,29.78,60.23,71.03,-0.205,-0.082,-0.019,0.266,-0.123,1
Jonas Blixt,2017,74,60.1,288.8,61.51,28.16,58.56,71.283,0.536,-0.341,-0.3,-0.614,0.037,1
Kelly Kraft,2017,75,60.06,291.9,63.15,29.32,53.5,71.491,-0.157,-0.681,-0.205,0.159,-0.479,3
Daniel Berger,2017,91,60.02,296.5,66.93,28.73,62.8,70.121,0.149,1.032,0.282,0.57,-0.09,6
Louis Oosthuizen,2017,69,59.98,295.2,65.13,28.91,62.91,70.22,0.53,1.179,0.301,0.215,0.189,3
Mark Anderson,2017,54,59.97,283.8,65.6,29.13,61.18,71.5,-0.016,-0.325,-0.149,-0.241,0.082,1
Sean O'Hair,2017,84,59.91,297.2,66.19,29.06,57.52,70.801,0.107,0.422,0.252,0.118,-0.101,5
Bud Cauley,2017,92,59.83,296,67.38,29.24,59.21,70.432,-0.273,0.561,0.264,0.588,-0.05,5
Anirban Lahiri,2017,72,59.82,297,63.43,28.6,55.06,70.799,-0.336,-0.186,0.234,-0.143,0.059,2
Greg Chalmers,2017,75,59.8,278,59.86,28.17,59.26,71.758,0.316,-0.533,-0.496,-0.529,0.175,
Billy Horschel,2017,88,59.8,299.5,68.19,29.86,54.47,70.832,0.084,0.138,0.224,0.02,-0.324,4
Tyrone Van Aswegen,2017,105,59.79,287.2,66.38,29.36,58.94,71.181,-0.32,-0.217,-0.067,0.084,0.085,1
Michael Kim,2017,94,59.71,289.6,65.68,28.96,58.81,70.707,0.229,0.247,-0.247,0.158,0.106,1
Sung Kang,2017,104,59.65,296.4,66.07,29.08,56.98,70.496,0.154,0.478,0.255,0.251,-0.182,3
Mackenzie Hughes,2017,106,59.63,294.3,64.74,29.07,58.64,71.044,0.492,0.172,0.021,-0.404,0.063,2
Harold Varner III,2017,101,59.61,302.4,67.68,29.69,56.94,70.966,-0.402,0.109,0.262,0.33,-0.081,1
Bubba Watson,2017,71,59.58,305.6,63.02,29.28,55.67,71.175,-0.187,0.116,0.647,-0.175,-0.201,3
Robert Garrigus,2017,78,59.52,300.7,69.52,29.46,54.94,70.712,-0.456,0.253,0.422,0.477,-0.19,3
Jordan Spieth,2017,85,59.48,295,69.97,28.34,61.75,68.846,0.278,1.988,0.321,0.896,0.429,8
Scott Piercy,2017,70,59.32,295.1,66.84,29.38,50,71.235,-0.526,-0.214,0.19,0.311,-0.25,4
Chad Collins,2017,66,59.31,281.4,60.93,28.47,63.07,71.77,0.079,-0.454,-0.573,-0.254,0.294,2
Jason Kokrak,2017,95,59.26,305.7,66.97,29.99,54.9,70.961,-0.405,0.073,0.607,0.077,-0.226,1
J.T. Poston,2017,95,59.24,294.8,65.69,28.79,59.62,70.982,-0.117,0.079,0.156,0.053,-0.062,1
Gary Woodland,2017,94,58.9,306.9,69.35,29.76,58.21,70.482,-0.381,0.692,0.431,0.571,0.039,5
Jon Rahm,2017,90,58.61,305.8,68.79,28.81,63.74,69.561,0.256,1.871,0.949,0.515,0.057,7
Justin Rose,2017,66,58.48,300.4,68.19,29.15,59.44,69.699,-0.063,1.268,0.559,0.363,0.373,4
Brian Campbell,2017,55,58.2,296,63.29,28.63,56.68,71.924,0.385,-0.428,0.063,-0.75,-0.126,
Branden Grace,2017,70,58.19,290.6,66.2,29.36,61.28,70.862,-0.248,0.283,0.18,0.173,0.165,2
Tag Ridings,2017,67,58.18,301.6,65.91,29.19,57.73,71.176,0.203,0.03,0.295,-0.356,-0.111,1
Cameron Tringale,2017,89,58.15,280.9,64.39,28.9,58.83,71.343,0.125,-0.14,-0.75,0.089,0.396,3
Bill Haas,2017,92,58.05,292.3,67.28,29.09,63.1,70.011,0.055,0.763,-0.047,0.399,0.516,3
Bryson DeChambeau,2017,91,58.04,299.1,65.77,29.15,57.65,70.866,-0.193,0.243,0.42,-0.02,-0.016,2
Wesley Bryan,2017,95,57.89,279.6,60.92,28.12,61.5,71.062,0.34,0.167,-0.899,0.421,0.141,5
Retief Goosen,2017,52,57.79,291.8,63.89,29.09,60.2,71.425,-0.425,-0.39,-0.001,0.009,0.027,1
Charley Hoffman,2017,112,57.72,298.3,66.13,29,56.78,70.351,-0.012,0.78,0.586,0.349,-0.031,7
Xander Schauffele,2017,96,57.68,306.3,67.74,29.1,56.95,70.163,0.402,0.724,0.554,0.011,-0.086,3
Marc Leishman,2017,94,57.64,298.1,67.38,28.77,60.99,69.468,0.356,1.424,0.319,0.41,0.337,5
Kevin Chappell,2017,95,57.61,304.7,65.05,29.35,56.56,70.779,-0.303,0.459,0.442,0.294,0.106,4
Hideki Matsuyama,2017,83,57.61,302.9,69.14,28.96,61.25,69.624,-0.345,1.058,0.508,0.758,0.346,7
Bryce Molder,2017,74,57.6,277,61.79,28.66,59.14,71.817,0.383,-0.846,-1.098,-0.431,0.301,
Robert Streb,2017,98,57.58,294.3,65.19,29.13,58.91,70.7,0.003,0.078,-0.159,-0.072,0.305,2
Tony Finau,2017,106,57.53,309.2,68.96,29.26,59.38,69.987,-0.133,1.147,0.826,0.39,0.065,6
Jhonattan Vegas,2017,95,57.28,300.8,65.91,29.58,58.15,71.054,-0.413,0.174,0.394,0.172,-0.06,3
Matt Jones,2017,64,57.09,302.6,63.1,28.7,63.17,70.719,0.17,0.278,0.073,-0.468,0.503,
Scott Stallings,2017,81,57.04,297.6,67.89,29.65,55.51,70.811,-0.32,0.02,0.049,0.375,-0.084,3
Ryan Palmer,2017,61,56.94,303.1,65.9,30.08,57.83,71.116,-1.159,-0.127,0.533,0.555,-0.058,3
Byeong Hun An,2017,77,56.76,299.9,64.52,29.2,55.93,70.887,-0.375,0.617,0.524,0.369,0.071,3
Dominic Bozzelli,2017,69,56.57,294.4,61.97,28.6,57.75,71.49,-0.033,-0.449,0.051,-0.342,-0.125,3
Jamie Lovemark,2017,98,56.54,304.5,65.94,28.87,60.11,70.391,-0.017,0.709,0.319,0.183,0.258,4
Patrick Reed,2017,107,56.52,295.3,62.09,28.33,60.92,70.453,0.577,0.893,0.199,-0.049,0.25,3
Luke Donald,2017,50,56.5,278.5,61.92,28.56,59.88,70.831,0.704,0.047,-1.001,-0.078,0.422,1
Dustin Johnson,2017,77,56.44,314.4,69.61,29,62.63,69.549,0.019,1.972,1.071,0.67,0.121,7
Brad Fritsch,2017,56,56.4,288.3,64.21,29.54,56.42,71.855,-0.596,-0.719,-0.432,0.235,0.075,
Cameron Smith,2017,86,56.26,292.6,63.14,28.52,58.64,70.909,0.084,0.502,-0.13,0.149,0.399,4
Nicholas Lindheim,2017,58,56.19,287.1,65.67,29.25,56.65,72.205,0.336,-1.285,-0.733,-0.578,-0.311,
Grayson Murray,2017,94,56.01,308.2,63.95,28.68,53.77,71.064,-0.082,0.064,0.353,-0.032,-0.176,2
Tom Hoge,2017,54,55.99,285.1,66.06,28.72,60.14,71.326,0.019,-0.274,-0.352,0.235,-0.176,2
Adam Scott,2017,58,55.99,306.1,66.87,29.29,59.28,69.996,-0.097,1.066,0.524,0.536,0.043,4
Jimmy Walker,2017,68,55.97,295.7,63.75,28.86,57.92,71.155,0.135,0.355,-0.258,0.518,-0.123,1
Si Woo Kim,2017,80,55.92,288.4,58.84,29.13,55.13,72.253,-0.392,-1.222,-0.236,-0.447,0.11,2
Andres Gonzales,2017,73,55.75,299.2,67.71,29.06,61.85,71.112,0.023,0.02,-0.104,-0.089,0.19,1
Nick Watney,2017,75,55.67,300.9,66.43,29.45,58.99,70.685,-0.113,0.171,-0.063,0.585,-0.238,1
Luke List,2017,102,55.63,311.5,69.1,29.52,56.33,70.428,-0.426,0.691,0.6,0.443,0.074,3
Derek Fathauer,2017,81,55.49,286.5,62.81,28.64,53.78,71.568,0.094,-0.647,-0.456,-0.136,-0.149,2
Phil Mickelson,2017,85,55.05,293.5,62.85,28.25,60,70.168,0.337,1.048,-0.058,0.553,0.216,4
Rory McIlroy,2017,51,54.97,316.7,65.94,28.65,63.12,69.529,-0.304,1.212,0.965,0.322,0.095,6
Smylie Kaufman,2017,76,54.79,304.8,65.26,29.24,55.18,71.432,-0.137,-0.177,0.091,-0.059,-0.073,1
Cody Gribble,2017,79,54.77,297.2,62.7,28.53,54.74,71.581,0.461,-0.524,-0.338,-0.586,-0.061,2
Charles Howell III,2017,86,54.72,296.9,67.01,29.11,62.63,70.371,0.172,0.492,0.016,0.223,0.081,5
Ernie Els,2017,52,54.48,283.6,56.6,28.52,56,72.179,0.458,-0.685,-0.565,-0.504,-0.067,
Sebastián Muñoz,2017,51,54.45,296,63.15,28.84,56.92,71.263,0.358,0.169,0.031,-0.077,-0.143,1
Camilo Villegas,2017,76,54.37,288.7,61.88,28.31,62.35,70.881,0.4,0.218,-0.524,0.107,0.235,2
Ricky Barnes,2017,100,54.32,284.9,63.53,28.62,60.1,71.221,0.26,-0.027,-0.638,0.238,0.114,
Whee Kim,2017,74,54.32,289.4,62.09,28.12,62.07,70.964,0.443,-0.232,-0.665,-0.148,0.163,2
Stewart Cink,2017,93,54.15,295.8,68.54,29.11,58.53,70.213,0.286,1.043,-0.019,0.793,-0.05,3
Brooks Koepka,2017,88,54.14,310.5,62.28,28.32,56.2,69.847,0.581,0.954,0.546,0.058,0.019,6
Justin Thomas,2017,86,54.09,309.3,67.33,28.29,60.54,69.359,0.332,1.724,0.452,0.738,0.289,9
Jason Day,2017,71,53.73,306.3,63.98,28.22,59.04,70.115,0.354,1.109,0.311,-0.004,0.273,3
Charl Schwartzel,2017,63,53.59,298.4,61.69,28.45,60.5,70.211,0.257,0.803,-0.023,0.399,0.127,3
Seamus Power,2017,86,53.27,298.1,65.63,28.46,63.43,70.543,0.174,0.538,-0.067,0.202,0.229,1
Gonzalo Fernandez-Castaño,2017,63,53.26,292.1,62.2,28.41,64.3,71.484,0.489,-0.078,-0.375,-0.312,0.12,
Trey Mullinax,2017,88,53.26,308.8,66.24,29,55.91,71.027,-0.057,-0.184,0.427,-0.195,-0.169,1
Seung-Yul Noh,2017,91,53.09,298.5,65.58,28.74,59.18,70.955,0.244,0.186,-0.541,0.044,0.439,3
Patrick Rodgers,2017,76,52.9,306.3,65.84,29.85,53.63,71.432,-0.066,-0.716,-0.044,-0.529,-0.077,3
Martin Flores,2017,88,52.79,300.6,70.64,29.86,57.01,70.885,0.242,-0.015,-0.024,0.047,-0.28,2
Patton Kizzire,2017,84,52.54,293,63.52,29.09,54.31,71.598,-0.103,-0.578,-0.744,0.29,-0.021,3
Kevin Tway,2017,96,52.48,309.2,64.71,28.86,59.03,70.868,0.261,0.433,0.288,-0.168,0.053,3
Brandon Hagy,2017,85,52.46,312.7,64.5,29.06,60.16,70.875,0.109,0.293,0.459,-0.393,0.118,1
Aaron Baddeley,2017,61,52.25,292.6,62.57,28.49,59.9,71.483,0.044,-0.172,-0.782,0.256,0.31,2
Carl Pettersson,2017,63,51.94,280.2,57.91,28.34,53.91,72.419,0.172,-1.283,-1.123,-0.385,0.052,
Ryo Ishikawa,2017,56,51.92,288.8,63.29,28.86,57.84,71.99,-0.204,-1.132,-0.58,-0.328,-0.021,1
Ollie Schniederjans,2017,92,51.89,300.7,66.03,29.15,58.65,70.704,-0.019,0.383,0.125,0.309,-0.032,5
Ryan Brehm,2017,83,51.13,310.5,67.5,29.55,57.14,71.178,-0.149,-0.16,0.137,-0.06,-0.099,
Harris English,2017,84,49.8,301.2,63.73,28.71,59.79,70.848,0.374,0.017,-0.644,0.138,0.169,2
J.B. Holmes,2017,83,49.75,306.4,62.19,28.88,56.12,70.66,-0.032,0.521,0.533,0.039,0.137,2
Matt Every,2017,76,48.41,297.7,60.16,28.94,48.01,72.671,-0.272,-1.454,-0.734,-0.141,-0.306,
Andrew Loupe,2017,55,45.93,311.3,59.83,29.63,50.27,72.803,-0.242,-1.416,-0.348,-0.424,-0.403,1
Steven Bowditch,2017,59,45.37,287.3,53.54,29.2,51.96,74.4,-0.15,-2.889,-1.717,-1.26,0.238,
Colt Knost,2016,90,73.36,269.7,65.25,28.83,61.9,70.785,0.384,0.324,-0.178,0.257,-0.139,3
Thomas Aiken,2016,70,72.36,290.5,70.2,30.08,56.21,71.326,0.006,0.156,0.438,0.101,-0.39,
Jerry Kelly,2016,76,71.2,278.2,66.67,29.17,64.04,70.937,-0.214,0.167,0.013,0.427,-0.059,2
Brian Stuard,2016,66,71.07,277.7,63.3,28.76,62.16,71.242,-0.022,-0.093,-0.1,-0.11,0.14,1
Zac Blair,2016,99,69.86,275.3,62.34,28.69,62.73,71.49,0.195,-0.37,-0.068,-0.498,0.001,2
Roberto Castro,2016,97,69.37,284.2,69.13,29.25,60.11,70.588,-0.257,0.587,0.217,0.437,0.19,3
Jim Furyk,2016,52,69.09,280.8,68.27,29.71,57.24,70.13,0.067,0.53,-0.234,0.465,0.232,3
Russell Knox,2016,92,68.51,285.8,69.73,29.52,61.86,70.319,-0.054,0.506,0.13,0.357,0.073,4
John Huh,2016,86,68.3,284.7,66.21,29.07,62.09,71.104,-0.209,-0.05,0.015,0.07,0.073,3
Chez Reavie,2016,90,68.22,287.3,68.09,29.05,62.75,70.661,-0.262,0.5,0.262,0.567,-0.068,2
David Toms,2016,62,67.98,269.7,65.5,29.21,61.04,70.872,0.132,0.38,-0.39,0.36,0.278,1
Spencer Levin,2016,104,67.79,281.3,66.33,29,59.41,70.927,0.008,0.238,0.043,0.003,0.183,2
Graeme McDowell,2016,63,67.7,281.4,64.44,29.22,58.85,70.899,-0.208,-0.178,-0.129,0.161,-0.003,5
Jason Bohn,2016,67,67.56,276.3,66.33,28.79,56.16,71.126,0.032,-0.22,-0.259,0.272,-0.265,3
David Lingmerth,2016,84,67.36,284.8,63.99,28.75,59.57,71.05,0.055,0.261,0.193,0.116,-0.103,2
Boo Weekley,2016,83,66.98,291.5,67.87,29.42,58.33,71,-0.225,0.082,0.571,-0.09,-0.174,2
Emiliano Grillo,2016,93,66.93,294.3,68.52,29.67,55.1,70.637,-0.056,0.479,0.446,0.255,-0.167,1
Ryan Moore,2016,86,66.52,283.2,65.78,28.58,60.12,70.317,0.351,0.895,-0.112,0.418,0.237,6
Mark Wilson,2016,66,66.2,274.7,64.96,29.48,60.36,71.436,-0.155,-0.554,-0.501,-0.061,0.163,
K.J. Choi,2016,73,66.18,275.3,65.37,28.84,61.54,71.093,0.352,0.178,-0.511,0.166,0.171,2
David Hearn,2016,95,65.94,281.2,68.25,29.08,61.14,70.87,0.214,0.525,-0.303,0.532,0.081,1
Alex Cejka,2016,71,65.89,281.5,67.99,28.55,65.03,70.675,0.011,0.642,-0.292,0.626,0.297,4
Dicky Pride,2016,55,65.86,278.9,60.9,28.74,59.79,72.102,0.144,-0.83,-0.212,-0.856,0.094,
Matt Kuchar,2016,100,65.67,285.8,67.82,29.02,61.51,69.844,0.381,1.314,0.364,0.326,0.242,9
Jim Herman,2016,93,65.59,291.1,65.65,29.43,58.96,71.206,-0.278,-0.18,0.466,-0.239,-0.129,2
Andrew Landry,2016,53,65.55,294.7,64.63,28.96,61.86,71.143,0.654,-0.04,0.594,-0.892,-0.396,1
Abraham Ancer,2016,51,65.42,276.4,61.81,29.06,56.67,72.137,-0.421,-0.727,-0.024,-0.34,0.057,
Billy Hurley III,2016,66,65.36,277.7,62.71,28.36,61.63,70.846,0.433,0.348,-0.206,0.226,-0.104,1
Kevin Na,2016,96,65.3,279.6,66.73,28.84,58.53,70.298,0.074,0.627,-0.322,0.788,0.087,8
Kyle Reifers,2016,115,65.29,287.3,67.62,29.34,55.95,70.965,0.102,0.148,0.112,0.061,-0.127,5
William McGirt,2016,98,65.28,287.6,67.35,29.08,60.76,70.393,0.36,0.958,0.37,0.256,-0.029,7
Zach Johnson,2016,90,65.23,280.1,64.53,28.49,62.11,70.364,0.395,0.609,-0.269,0.163,0.321,5
Kevin Kisner,2016,97,64.92,289,65.19,28.64,56.88,70.489,0.667,0.548,0.347,-0.136,-0.331,6
Mark Hubbard,2016,101,64.82,280.2,63.52,28.75,59.97,71.362,0.272,-0.216,-0.143,-0.189,-0.155,
Scott Langley,2016,65,64.81,285.7,63.93,29.14,62.35,71.796,0.045,-0.594,0.105,-0.999,0.254,
Paul Casey,2016,77,64.67,295.2,70.8,29.69,61.44,69.95,0.112,1.372,0.494,0.616,0.15,4
Keegan Bradley,2016,82,64.57,300,69.58,30.11,54.57,70.741,-0.631,0.298,0.305,0.419,0.205,2
Kyle Stanley,2016,92,64.54,288.1,67.17,29.47,55.13,70.986,-0.131,0.141,0.076,0.258,-0.062,
Chad Campbell,2016,90,64.39,287.9,68.15,29.39,62.21,70.566,-0.256,0.565,0.145,0.306,0.37,3
Lucas Glover,2016,75,64.37,298.3,71.63,29.8,57.18,70.534,-0.192,0.572,0.565,0.309,-0.11,2
Kevin Streelman,2016,82,64.37,289.1,69.17,29.77,52.97,71.054,-0.383,0.064,0.255,0.203,-0.011,2
Jon Curran,2016,99,64.35,271.9,63.02,28.28,63.28,71.145,0.407,0.053,-0.659,0.001,0.304,3
Ken Duke,2016,58,64.18,280.2,59.26,28.94,52.53,71.88,-0.524,-0.734,0.04,-0.202,-0.048,2
Danny Lee,2016,93,64.05,286.6,63.95,29.12,57.19,71.118,-0.207,0.302,0.206,0.287,0.017,2
Rod Pampling,2016,54,63.95,287.7,64,29.08,61.73,71.607,-0.475,-0.426,0.222,-0.372,0.199,
Francesco Molinari,2016,64,63.76,286.7,64.93,29.17,60.4,70.436,-0.296,0.562,0.192,0.484,0.183,3
Scott Brown,2016,88,63.65,292.5,65.03,29.22,59.03,71.098,0.018,0.143,0.378,-0.13,-0.123,4
Jason Gore,2016,78,63.63,289.2,66.52,29.23,58.3,71.627,-0.079,-0.532,0.202,-0.036,-0.619,
Adam Hadwin,2016,93,63.62,290.1,66.07,28.55,58.27,70.719,0.529,0.526,0.152,-0.061,-0.094,2
Whee Kim,2016,82,63.48,287.6,65.74,29.56,58,71.472,-0.219,-0.209,0.252,-0.39,0.148,2
Brian Harman,2016,104,63.41,289.7,64.85,28.64,61.4,70.996,0.485,0.26,0.257,-0.622,0.14,2
Henrik Norlander,2016,71,63.39,288.1,68.24,29.48,60.31,71.157,0.018,0.066,0.093,0.072,-0.116,
Steve Stricker,2016,53,63.23,278,63,27.96,66.01,69.996,0.62,0.721,-0.44,-0.003,0.544,3
Ben Crane,2016,80,63.18,280.3,63.6,28.61,61.65,70.908,0.216,0.253,-0.149,-0.006,0.192,1
Russell Henley,2016,76,63.15,295.6,68.27,29.3,61.06,70.558,0.193,0.56,0.269,0.135,-0.038,4
Scott Pinckney,2016,87,63.05,296.8,69.02,29.96,52.53,71.524,-0.063,-0.325,0.511,-0.396,-0.376,
Si Woo Kim,2016,113,62.84,293.5,64.83,28.6,62.32,70.56,-0.109,0.499,0.336,-0.131,0.403,4
Jason Dufner,2016,105,62.83,293.2,70.15,29.59,56.39,70.212,-0.353,0.488,0.29,0.469,0.081,5
Bryce Molder,2016,80,62.53,280.2,61.32,28.01,65.38,70.901,0.553,0.54,-0.181,-0.331,0.498,5
Blayne Barber,2016,84,62.37,289.6,66.74,29.36,57.62,71.032,0.01,0.099,0.018,0.127,-0.056,1
Tim Wilkinson,2016,72,62.36,279.3,64.71,28.54,63.66,70.704,0.336,0.561,-0.459,0.425,0.26,1
Bill Haas,2016,86,62.34,289.6,67.14,29.44,63.3,70.444,-0.174,0.519,0.068,0.272,0.353,6
Stuart Appleby,2016,71,62.24,282.7,61.43,28.14,63.26,70.95,0.202,0.176,-0.173,-0.1,0.248,
Rory Sabbatini,2016,57,62.18,287.6,64.3,29.76,56.48,72.451,-0.945,-1.403,0.115,-0.628,0.054,
