Player Name,Year,Rounds Played in Year,Average Fairway Percentage,Average Driving Distance,Average GIR,Average Putts,Average Scrambling,Average Score,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Top 10 Placements
Louis Oosthuizen,2018,62,64.81,299.8,65.74,29.24,64.26,70.157,-0.026,0.521,0.401,-0.261,0.408,3
Chad Campbell,2018,87,64.7,286.5,65.54,29.75,59.39,71.683,-0.454,-0.484,-0.042,-0.01,0.023,2
Blayne Barber,2018,69,64.67,294.7,69.98,29.66,57.46,70.835,-0.022,-0.041,0.101,-0.047,-0.073,
Michael Thompson,2018,62,64.66,296.4,70.11,29.62,55.77,70.924,0.498,0.052,-0.073,-0.423,0.05,
Chris Kirk,2018,108,64.64,289.8,68.24,28.9,63.53,70.411,0.073,0.732,-0.048,0.518,0.19,4
Daniel Berger,2018,81,64.58,297.7,66.89,29.42,58.94,70.32,0.319,0.816,0.1,0.543,-0.145,1
Hudson Swafford,2018,73,64.57,302.8,68.99,30.03,54.01,71.619,-0.26,-0.492,0.225,-0.237,-0.221,
Bronson Burgoon,2018,69,64.53,302.8,68.44,29.55,55.61,70.701,0.107,0.481,0.309,0.371,-0.307,2
Brice Garnett,2018,99,64.45,296.7,66.78,29.34,58.63,71.018,-0.076,-0.31,0.188,-0.144,-0.278,2
Ryan Blaum,2018,81,64.31,289,66.1,29.13,55.46,70.993,0.025,-0.033,0.011,-0.074,0.005,2
Johnson Wagner,2018,75,64.25,286.1,67.87,28.65,65.41,70.758,0.623,0.715,-0.213,0.078,0.226,
Kevin Na,2018,91,64.13,289.6,64.66,28.07,63.62,70.288,0.533,0.801,-0.378,0.273,0.373,4
Zach Johnson,2018,94,63.88,289.8,67.43,28.62,62.35,69.911,0.206,1.035,-0.059,0.463,0.425,2
John Huh,2018,94,63.83,287.1,65.8,28.82,57.94,70.718,0.167,0.251,-0.11,0.24,-0.047,2
James Hahn,2018,85,63.73,298.7,68.29,29.5,59.62,70.896,-0.152,0.279,0.323,0.081,0.028,1
Rod Pampling,2018,62,63.69,288.4,62.64,29.31,56.67,72.445,-0.421,-1.094,-0.095,-0.415,-0.163,
Gary Woodland,2018,96,63.69,313.5,70.51,29.93,54.45,70.161,0.007,1.066,0.803,0.484,-0.228,3
Cameron Percy,2018,56,63.66,295.6,69.56,29.36,57.3,70.909,-0.205,0.285,0.241,0.039,0.21,2
Abraham Ancer,2018,98,63.64,296.1,66.49,28.91,62.69,70.659,-0.056,0.32,0.325,0.074,-0.022,4
Ben Martin,2018,64,63.52,289.6,63.98,28.58,58.8,70.974,0.118,-0.001,-0.142,0.119,-0.096,1
Branden Grace,2018,67,63.49,298.9,67.1,29.34,57.78,70.412,0.35,0.812,0.163,0.174,0.125,2
Denny McCarthy,2018,71,63.45,295.4,68.17,29.41,59.83,70.861,0.449,0.094,0.011,-0.347,-0.019,1
Aaron Wise,2018,90,63.33,302.9,68.81,29.15,56.28,70.247,0.238,0.703,0.41,0.012,0.042,3
Jason Dufner,2018,71,63.3,297.1,64.24,29.58,58.25,71.323,-0.058,0.011,0.256,-0.009,-0.178,2
Matt Kuchar,2018,88,63.27,288,66.81,28.85,63.6,70.461,0.348,0.576,-0.199,0.216,0.211,4
Martin Laird,2018,73,63.22,299,65.9,28.83,59.15,70.839,0.282,0.47,-0.045,0.024,0.209,3
Roberto Díaz,2018,72,63.2,286.3,63.73,29.21,58.56,71.731,0.168,-0.833,-0.165,-0.6,-0.237,
Paul Casey,2018,74,63.14,304.3,67.84,29.07,60.58,69.85,0.133,0.966,0.138,0.586,0.109,5
Corey Conners,2018,97,62.99,303.3,70.19,29.84,57.52,70.743,-0.385,0.193,0.501,0.275,-0.198,1
Kyle Thompson,2018,50,62.99,285.3,62.44,29.61,54.02,72.673,-0.75,-1.262,-0.534,0.036,-0.014,
Troy Merritt,2018,89,62.93,295.4,65.16,28.74,57.6,70.888,0.077,0.209,0.138,0.086,-0.092,3
Andrew Landry,2018,82,62.92,291.1,65.63,28.96,56.97,71.059,-0.01,-0.039,0.206,-0.083,-0.152,5
Hideki Matsuyama,2018,75,62.82,302,69.29,29.21,60.8,70.022,0.132,1.196,0.194,0.727,0.143,2
Brandt Snedeker,2018,84,62.79,293.1,65.04,28.63,60.08,70.379,0.478,0.625,-0.145,-0.026,0.318,4
Zac Blair,2018,64,62.76,279.5,66.48,28.97,61.43,71.215,0.203,0.323,-0.345,0.072,0.394,
Danny Lee,2018,88,62.65,290.6,65.05,28.56,60.81,71.196,0.156,0.058,0.005,-0.155,0.051,3
Charles Howell III,2018,104,62.59,300.9,69.33,29.5,60.87,70.219,0.219,0.801,0.324,0.163,0.095,4
Adam Scott,2018,78,62.51,304.6,70.66,30.15,54.85,70.42,-0.285,0.779,0.3,0.639,0.125,2
Tom Hoge,2018,101,62.43,291.4,63.62,28.45,61.41,70.945,-0.162,0.074,0.018,0.297,-0.079,3
Webb Simpson,2018,95,62.34,293.7,67.93,28.47,66.1,69.293,0.692,1.432,-0.116,0.486,0.37,7
Chris Stroud,2018,81,62.24,289.8,62.94,28.78,59.96,71.628,0.053,-0.338,-0.277,-0.056,-0.058,1
Bryson DeChambeau,2018,93,62.23,305.7,69.65,29.18,59.84,69.646,0.346,1.558,0.586,0.556,0.07,7
Jonathan Randolph,2018,71,62.18,289.4,60.43,28.63,59.83,71.945,0.115,-0.877,-0.271,-0.538,-0.182,1
Rory Sabbatini,2018,91,62.05,292.3,67.85,29.07,61.36,70.693,0.059,0.358,0.217,-0.152,0.234,1
Scott Brown,2018,102,62.03,292.6,65.65,29.1,54.79,71.329,0.049,-0.661,-0.265,-0.27,-0.175,2
Tyrrell Hatton,2018,58,61.84,298.8,66.46,29.2,62.58,70.091,0.335,0.938,0.148,0.202,0.252,4
Alex Noren,2018,67,61.73,299.2,64.91,28.97,61.74,69.973,0.758,1.044,0.208,0.107,-0.029,3
Patrick Cantlay,2018,87,61.58,303.1,70.69,29.8,57.58,69.899,-0.182,1.096,0.622,0.509,0.146,6
Jordan Spieth,2018,81,61.55,299.8,70.47,29.09,61.63,69.904,-0.034,0.83,0.271,0.409,0.184,5
J.T. Poston,2018,73,61.53,300.7,68.31,29.07,57.53,70.915,0.135,0.138,0.381,-0.373,-0.005,2
Kevin Chappell,2018,77,61.27,308.6,66.52,29.64,56.28,70.839,-0.344,0.323,0.608,0.296,-0.236,4
Shane Lowry,2018,64,61.2,300.7,68.65,30.04,53.48,70.754,-0.286,0.238,0.331,0.245,-0.052,
